DEB [20230122-23:10:04.103] thr=1   paramiko.transport: starting thread (client mode): 0xbfe04460
DEB [20230123-13:54:25.226] thr=1   paramiko.transport: userauth is OK
INF [20230123-13:54:25.240] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-13:54:25.241] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-13:54:25.242] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-13:54:25.243] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-13:54:25.244] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-13:54:25.245] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-13:54:25.245] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-13:54:25.247] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-14:59:57.717] thr=1   paramiko.transport: starting thread (client mode): 0x23f8f940
DEB [20230123-14:59:57.718] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-14:59:57.739] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-14:59:57.739] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-14:59:57.741] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-14:59:57.741] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-14:59:57.741] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-14:59:57.742] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-14:59:57.742] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-14:59:57.742] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-14:59:57.746] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-14:59:57.747] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-14:59:57.748] thr=1   paramiko.transport: userauth is OK
INF [20230123-14:59:57.760] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-14:59:57.761] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-14:59:57.762] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-14:59:57.763] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-14:59:57.764] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-14:59:57.765] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-14:59:57.765] thr=2   paramiko.transport: [chan 0] EOF sent (0)
ERR [20230123-14:59:57.766] thr=1   paramiko.transport: Socket exception: An established connection was aborted by the software in your host machine (10053)
DEB [20230123-15:00:17.582] thr=1   paramiko.transport: starting thread (client mode): 0x3075f940
DEB [20230123-15:00:17.583] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:00:17.605] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:00:17.605] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:00:17.606] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:00:17.607] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:00:17.607] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:00:17.607] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:00:17.607] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:00:17.607] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:00:17.612] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:00:17.613] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:00:17.615] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:00:17.628] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:00:17.628] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:00:17.630] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:00:17.630] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:00:17.631] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:00:17.632] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:00:17.633] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:00:17.634] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:22:12.139] thr=1   paramiko.transport: starting thread (client mode): 0xbfedf730
DEB [20230123-15:22:12.140] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:22:12.163] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:22:12.163] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:22:12.164] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:22:12.165] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:22:12.165] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:22:12.165] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:22:12.165] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:22:12.165] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:22:12.169] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:22:12.170] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:22:12.172] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:22:12.190] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:22:12.190] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:22:12.192] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:22:12.192] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:22:12.193] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:22:12.194] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:22:12.198] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:22:12.199] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:22:12.199] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:25:50.939] thr=1   paramiko.transport: starting thread (client mode): 0xc8752eb0
DEB [20230123-15:25:50.941] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:25:50.956] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:25:50.956] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:25:50.960] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:25:50.961] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:25:50.962] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:25:50.962] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:25:50.963] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:25:50.964] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:25:50.975] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:25:50.976] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:25:53.920] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:25:53.935] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:25:53.935] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:25:53.938] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:25:53.938] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:25:53.940] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:25:53.942] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:25:53.951] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:25:53.953] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:25:53.954] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:27:16.425] thr=1   paramiko.transport: starting thread (client mode): 0x9b238820
DEB [20230123-15:27:16.425] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:27:16.448] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:27:16.448] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:27:16.450] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:27:16.451] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:27:16.451] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:27:16.451] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:27:16.451] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:27:16.452] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:27:16.457] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:27:16.458] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:27:16.460] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:27:16.474] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:27:16.474] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:27:16.476] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:27:16.476] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:27:16.477] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:27:16.478] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:27:16.480] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:27:16.481] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:27:16.482] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:28:00.303] thr=1   paramiko.transport: starting thread (client mode): 0xbc48f9a0
DEB [20230123-15:28:00.304] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:28:00.329] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:28:00.330] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:28:00.332] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:28:00.332] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:28:00.333] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:28:00.333] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:28:00.333] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:28:00.333] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:28:00.339] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:28:00.340] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:28:00.343] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:28:00.364] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:28:00.364] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:28:00.366] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:28:00.366] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:28:00.367] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:28:00.369] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:28:00.371] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:28:00.372] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:28:00.373] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:28:52.901] thr=1   paramiko.transport: starting thread (client mode): 0xb23cf9a0
DEB [20230123-15:28:52.902] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:28:52.925] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:28:52.925] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:28:52.927] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:28:52.933] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:28:52.934] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:28:52.936] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:28:52.953] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:28:52.954] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:28:52.956] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:28:52.956] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:28:52.957] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:28:52.958] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:28:59.423] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:28:59.423] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:28:59.424] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:37:46.445] thr=1   paramiko.transport: starting thread (client mode): 0x63bcf9a0
DEB [20230123-15:37:46.447] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
ERR [20230123-15:37:46.515] thr=1   paramiko.transport: Exception: Error reading SSH protocol banner[WinError 10054] An existing connection was forcibly closed by the remote host
ERR [20230123-15:37:46.594] thr=1   paramiko.transport: Traceback (most recent call last):
ERR [20230123-15:37:46.594] thr=1   paramiko.transport:   File "C:\Users\Mahdi\anaconda3\lib\site-packages\paramiko\transport.py", line 2211, in _check_banner
ERR [20230123-15:37:46.595] thr=1   paramiko.transport:     buf = self.packetizer.readline(timeout)
ERR [20230123-15:37:46.595] thr=1   paramiko.transport:   File "C:\Users\Mahdi\anaconda3\lib\site-packages\paramiko\packet.py", line 380, in readline
ERR [20230123-15:37:46.595] thr=1   paramiko.transport:     buf += self._read_timeout(timeout)
ERR [20230123-15:37:46.595] thr=1   paramiko.transport:   File "C:\Users\Mahdi\anaconda3\lib\site-packages\paramiko\packet.py", line 607, in _read_timeout
ERR [20230123-15:37:46.595] thr=1   paramiko.transport:     x = self.__socket.recv(128)
ERR [20230123-15:37:46.595] thr=1   paramiko.transport: ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host
ERR [20230123-15:37:46.596] thr=1   paramiko.transport: 
ERR [20230123-15:37:46.596] thr=1   paramiko.transport: During handling of the above exception, another exception occurred:
ERR [20230123-15:37:46.596] thr=1   paramiko.transport: 
ERR [20230123-15:37:46.596] thr=1   paramiko.transport: Traceback (most recent call last):
ERR [20230123-15:37:46.596] thr=1   paramiko.transport:   File "C:\Users\Mahdi\anaconda3\lib\site-packages\paramiko\transport.py", line 2039, in run
ERR [20230123-15:37:46.596] thr=1   paramiko.transport:     self._check_banner()
ERR [20230123-15:37:46.597] thr=1   paramiko.transport:   File "C:\Users\Mahdi\anaconda3\lib\site-packages\paramiko\transport.py", line 2215, in _check_banner
ERR [20230123-15:37:46.597] thr=1   paramiko.transport:     raise SSHException(
ERR [20230123-15:37:46.598] thr=1   paramiko.transport: paramiko.ssh_exception.SSHException: Error reading SSH protocol banner[WinError 10054] An existing connection was forcibly closed by the remote host
ERR [20230123-15:37:46.598] thr=1   paramiko.transport: 
DEB [20230123-15:38:14.319] thr=1   paramiko.transport: starting thread (client mode): 0xba7cf9a0
DEB [20230123-15:38:14.320] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:38:14.346] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:38:14.347] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
